height,weight,age,sex
1,150.495,43.4597835,27,F
2,144.78,33.45241,42,F
3,111.125,17.690088,6,M
4,71.12,8.051258,0,M
5,161.925,51.59609,36,M
6,149.86,38.2434755,48,F
7,109.22,11.7083435,2,F
8,125.73,22.6796,16,F
9,168.275,54.6,41,M
10,84.455,11.7650425,1,M
11,127,22.0105518,13,M
12,142.875,32.715323,73.3,F
13,148.59,39.4341545,47,F
14,154.94,43.8566765,41,F
15,140.335,36.5992045,62,F
16,155.575,39.7176495,74,M
17,159.385,49.044635,29,M
18,147.32,35.4652245,19,F
19,161.925,56.9541455,38.7,M
20,146.685,46.549879,62,F
21,174.054176021002,53.183662,41,M
22,170.18,53.637254,34,M
23,119.38,21.5172705,7,M
24,88.9,11.5949455,3,M
25,127,24.4089195,15,F
26,160.655,39.7743485,65,M
27,149.86,52.673371,40,F
29,88.9,12.5588285,3,M
30,144.145,33.906002,34,F
31,156.845,47.62716,31,M
32,160.02,49.271431,23,M
33,133.985,28.1510535,13,M
34,158.4198,47.286966,24,F
35,149.86,39.008912,18,F
36,153.035,49.89,88,M
37,121.92,20.41164,8,M
38,151.765,42.524,83.4000000000001,M
39,71.755,7.37087,1,F
40,158.75,52.1914295,81.75,M
41,137.795,27.5840635,12,F
42,165.989,56.415505,25,M
43,149.225,40.3980375,53,F
44,144.78,32.545226,15,F
45,160.143356821558,44.622113,68,M
46,154.94,39.9444455,33,F
47,152.4,43.544832,63,F
48,157.590771932815,45.9545395,35,M
49,145.415,39.3774555,42,F
51,114.3,18.3421265,7,M
52,149.86,38.6970675,58,F
54,90.805,11.623295,3,F
55,149.86,38.045029,22,F
56,120.65,20.8935815,11,M
57,131.445,22.509503,14,F
58,153.67,47.400364,75.5,M
59,115.6,18.9,7,M
60,170.815,58.456669,28,M
61,74.295,9.752228,1,M
62,160.7,46.3,31,M
63,159.771089092497,54.090846,26,M
64,137.16,27.328918,17,M
66,152.4,40.879979,67,F
67,142.875,32.205032,17,F
68,169.545,53.523856,41,M
69,159.385,42.977842,43,M
70,127.9906,29.8520235,13,M
71,144.78,41.1918235,67,F
72,148.59,40.766581,44,M
73,149.225,42.240755,45,F
74,146.05,42.807745,23,F
75,162.56,56.018612,42,M
76,157.48,45.869491,41,M
77,147.955,34.869885,19,F
78,163.83,46.776675,21,M
79,149.86,42.977842,29,F
80,167.005,57.0675435,38,M
81,165.735,47.7122085,32,M
82,157.48,47.570461,43,M
83,142.875,35.606972,42,F
84,94.615,13.0124205,4,F
85,139.7,26.5634815,15,M
86,159.385,44.4236665,83,F
87,151.13,36.7126025,70,F
88,143.51,41.6454155,19,F
89,155.575,54.317642,37,F
90,148.59,37.9032815,45,F
91,163.195,51.0291,39,M
92,78.105,8.221355,3,F
93,164.122002904909,47.8823055,41,M
94,151.765,34.7848365,21.5,F
95,153.035,32.205032,79,F
96,154.94,48.2224995,26,F
97,162.56,48.1091015,50,M
98,160.02,54.601137,28,F
99,163.83,47.910655,57,M
100,168.91,58.8252125,41,M
101,165.735,58.5984165,42,M
102,153.67,44.8205595,18,F
103,111.76,16.499409,6,M
104,101.6,15.3370795,5,F
105,154.305,46.776675,51,F
106,156.845,45.642695,41,M
107,158.681671313603,48.420946,31,M
108,154.94,39.179009,16,M
109,152.4,40.879979,27,F
110,151.765,49.4131785,30,M
111,111.76,17.8318355,8.90000000000009,M
112,91.44,11.7083435,3,F
113,121.92,23.2182405,8,M
114,111.125,17.123098,11,M
115,97.155,17.066399,7,F
116,165.1,54.487739,54,M
117,152.4,41.106775,29,F
118,165.735,57.549485,51,M
119,156.845,53.0419145,41,M
121,53.975,4.252425,0,F
122,114.3,19.4194075,8,F
123,154.305,48.874538,50,F
124,149.225,43.941725,33,M
126,151.13,41.220173,66,M
127,55.88,4.8477645,0,F
128,135.89,27.21552,15,F
129,83.82,9.2135875,1,F
130,145.415,42.52425,53,F
131,160.655,47.286966,43,M
132,170.18,48.5626935,41,M
134,133.985,27.442316,12,M
135,125.095,22.5945515,12,F
136,74.93,8.50485,1,M
137,154.94,42.240755,26,M
138,127,21.488921,12,F
139,162.295950483929,55.3665735,45,M
140,156.21,45.6,43,F
141,137.16,27.158821,12,M
142,146.05,44.7638605,21,F
143,157.48,44.565414,33,M
144,163.83,46.719976,58,M
145,147.955,41.900561,17,F
146,157.48,45.132404,24.2,F
147,129.54,23.586784,13,M
148,157.48,40.029494,72,M
149,147.955,39.3774555,30,F
150,140.6398,28.859791,12,M
151,146.05,38.498621,35,F
152,146.685,36.0889135,62,F
153,146.05,37.5063885,53,F
154,152.4,41.163474,77,M
155,160.02,47.230267,44,M
156,116.84,19.391058,8,F
157,147.32,36.8826995,22,F
158,140.0048,28.3495,15,F
159,100.965,14.3164975,5,M
160,155.595167759825,47.853956,35,M
161,160.02,37.081146,75.9000000000001,M
162,158.115,43.09124,17,M
163,111.125,16.669506,8,F
164,142.875,34.246196,31,F
165,124.46,18.257078,12,F
166,157.48,45.5576465,53,F
167,147.955,40.312989,29,M
168,160.655,53.637254,44,M
169,124.9934,25.117657,13,M
170,144.145,39.4341545,34,F
171,153.67,41.333571,27,F
172,62.484,6.80388,1,F
173,83.82,10.9145575,3,M
174,89.535,11.113004,3,M
175,129.54,24.550667,13,M
176,159.18239833175,43.204638,62,M
177,60.452,5.6699,1,M
178,85.09,11.4248485,3,F
179,157.48,41.3052215,17,M
180,153.67,44.565414,54,F
181,159.385,45.019006,51,M
182,150.1648,41.95726,22,F
184,163.195,48.137451,67,M
185,162.56,52.16308,31,M
186,132.715,24.9759095,15,M
187,114.935,17.519991,7,M
188,160.655,48.5059945,24,M
189,137.16,27.952607,16,F
190,153.67,48.307548,38,M
191,147.32,35.0683315,36,F
192,160.9852,46.6916265,51,M
193,148.2852,38.441922,39,F
194,113.03,17.8885345,5,M
195,146.4,35.493574,56,M
196,120.015,20.128145,13,F
197,123.825,21.54562,11,M
198,159.385,47.2019175,28,M
199,121.92,19.787951,8,F
200,158.115,45.2174525,43,M
201,162.56,56.755699,30,F
202,126.365,21.9141635,15,M
203,160.335137300768,48.5626935,36,M
204,86.36,10.489315,6.5,F
205,164.374741321499,50.972401,48,M
206,149.9,47.7,20,F
207,146.05,37.5063885,24,F
208,90.17,12.700576,3,M
209,145.415,41.276872,51,F
211,92.71,12.757275,3,M
212,160.02,45.9545395,57,M
213,139.7,50.348712,38,M
214,167.005,56.755699,50,M
215,158.115,47.4854125,45,M
216,163.195,49.101334,43,M
217,152.4,46.719976,44,F
218,97.79,13.267566,5,F
219,153.035,39.972795,49.5,F
220,139.7,36.4858065,63,F
221,155.575,45.529297,21,F
222,128.905,23.359988,12,F
223,114.3,19.050864,7,M
224,151.765,42.864444,49,M
225,97.79,12.757275,5,F
226,153.67,44.22522,26,F
227,67.945,7.9662095,1,F
228,149.86,38.668718,57,F
229,153.67,35.5219235,23,F
230,93.98,14.288148,5,F
231,144.78,28.803092,17,F
233,142.24,28.632995,16,F
234,162.56,47.0318205,27,F
235,125.095,22.3677555,11,F
236,56.515,5.159609,0,F
237,150.495,33.849303,65.3,F
238,155.575,51.482692,24,F
239,149.225,38.1300775,17,M
240,162.56,55.281525,46,M
241,157.48,47.9390045,62,M
242,146.05,37.9032815,16,M
243,74.295,8.3064035,1,F
244,152.4,36.4858065,79.3,M
245,147.32,40.8516295,64,F
246,164.465,52.16308,71,M
247,160.02,54.204244,27,M
248,154.305,41.2485225,55,M
249,81.915,11.8784405,2,M
250,152.4,40.82328,49,F
251,148.59,37.5630875,36,F
252,161.29,50.4337605,41,M
253,168.91,56.4438545,38,M
254,165.735,48.3358975,30,M
255,149.225,40.82328,52,F
256,149.86,53.4388075,45,F
257,154.94,43.3463855,46,F
258,147.32,48.9595865,25,F
259,142.875,37.3362915,39,F
260,136.525,36.28736,79,F
261,167.005,50.6038575,49,M
262,105.41,13.947954,8,F
263,142.875,35.5786225,32,F
264,142.113,32.772022,22,F
265,161.29,48.19415,19,M
266,140.97,40.936678,85.5999999999999,F
268,132.08,28.292801,11,M
269,106.045,15.478827,8,F
270,141.605,42.88542,43,F
271,153.035,49.5832755,46,F
272,146.7,36.6,20,F
273,120.65,21.1770765,12,F
274,150.495,40.483086,68,F
275,92.71,12.076887,5,F
276,165.1,51.199197,49,M
277,81.28,11.509897,1,M
278,143.9418,38.3568735,31,F
279,132.715,24.777463,13,F
280,89.2048,12.700576,3,F
281,138.43,39.0939605,23,F
282,167.005,55.1964765,42,M
283,154.305,50.2069645,68,F
284,117.983,20.354941,8,M
285,154.305,45.756093,44,F
286,93.98,13.834556,4,F
287,93.345,14.004653,3,F
288,161.29,41.8722115,24,M
289,141.605,44.22522,60,F
290,76.835,8.0229085,1,M
291,154.305,47.62716,25,F
292,165.989,48.647742,27,M
293,69.85,7.7961125,1,F
294,123.825,20.581737,9,F
295,123.19,20.808533,8,M
296,123.19,20.014747,12,M
297,151.765,35.2951275,74,F
298,85.09,10.8011595,3,M
299,147.955,33.792604,17,F
300,110.49,17.6617385,11,F
301,142.24,31.6663915,36,F
302,91.44,12.530479,4,M
303,91.44,12.927372,0.599999999999909,M
304,67.945,7.2291225,1,F
305,158.115,46.5215295,51,M
306,152.4,44.678812,38,F
308,86.36,11.4815475,7.59999999999991,M
309,149.225,42.127357,18,F
310,145.415,42.410852,52,F
311,158.75,51.482692,59,M
312,145.415,34.246196,14,F
313,156.21,39.292407,26,M
314,157.48,40.6248335,19,M
315,151.9428,43.714929,21,M
316,147.955,40.086193,38,F
317,145.415,37.931631,49,F
318,147.32,39.12231,42,F
319,106.68,15.989118,8,F
320,144.145,34.246196,64.5,F
321,118.11,16.896302,7,F
322,151.765,42.807745,43,F
323,62.865,7.200773,0,M
324,157.48,50.178615,42,M
325,97.9932,13.2959155,5,M
326,142.875,34.416293,57,F
327,87.63,10.659412,6,F
328,163.195,53.0986135,22,M
329,152.4,43.0628905,29,F
330,146.685,38.0733785,48,F
331,153.035,39.5475525,33,F
332,145.415,45.642695,23,F
333,158.8,50.9,20,F
334,105.41,15.2236815,5,F
335,157.48,50.802304,19,F
336,85.09,12.360382,1,M
337,147.955,44.735511,16,F
338,111.76,15.081934,9,M
339,141.605,29.313383,15,M
340,160.157838815908,47.8823055,24,M
341,129.54,25.627948,14,F
342,127.635,24.4089195,9,M
343,144.78,43.998424,46,F
344,159.4,44.4,54,M
345,146.05,39.405805,37.4,F
346,152.4,43.8566765,33,M
347,83.185,9.1568885,2,M
348,152.4,51.255896,34,F
349,60.96,6.23689,0,M
350,158.75,52.5316235,68,M
351,67.31,7.200773,1,F
352,107.95,17.57669,6,M
353,100.965,13.7495075,4,M
354,76.2,8.50485,1,F
355,110.49,15.422128,9,F
356,154.305,47.853956,34,F
357,146.05,34.189497,23,F
358,143.51,38.4135725,39,F
359,125.3998,21.375523,13,F
360,148.59,42.52425,35,F
361,132.08,22.792998,11,M
363,171.45,56.5572525,52,M
364,166.37,52.673371,43,M
365,168.91,55.4799715,27,M
366,166.37,48.987936,41,M
367,154.94,46.209685,31,F
368,161.29,52.219779,31,M
369,163.83,62.992589,35,M
370,147.32,35.947166,40,F
371,113.665,16.782904,5,M
372,145.415,42.127357,29,F
373,159.385,50.689,45,M
374,157.48,44.6504625,18,M
375,149.86,37.931631,46,F
376,154.94,44.111822,44,M
377,153.035,45.245802,61,F
378,92.71,12.1052365,3,M
379,158.115,43.147939,63,M
380,102.235,13.1258185,6,F
381,161.925,50.235314,43,M
382,139.065,33.5941575,68,F
383,160.674564740445,43.204638,29,M
384,168.275,56.0469615,21,M
385,101.6,14.344847,5,F
386,163.83,55.394923,43,M
389,160.02,51.9646335,38,M
390,154.94,45.2174525,28,M
391,161.3,43.3,20,M
392,144.78,42.2691045,54,F
393,144.78,38.045029,29,F
394,145.415,35.493574,15,M
395,148.59,43.885026,33,F
396,149.225,52.3048275,35,F
397,164.465,45.8978405,50,M
398,152.4,39.292407,49,F
399,96.52,13.097469,5,M
400,152.4,43.431434,21,F
401,151.9936,49.951819,30,F
402,150.495,35.947166,69,F
403,154.94,48.477645,30,M
404,91.44,11.623295,4,F
407,162.873994340715,49.3564795,21,M
409,146.05,29.596878,12,F
410,141.605,31.524644,19,M
411,147.955,41.276872,17,F
412,147.955,36.4858065,64,F
413,151.13,42.2691045,48,F
414,114.3,17.860185,11,M
415,141.605,44.338618,24,F
416,147.955,47.400364,36,F
417,148.59,32.4601775,16,F
418,148.59,35.890467,70,F
419,154.94,45.4442485,31,M
420,96.52,13.267566,3,F
421,84.455,9.3836845,2,M
422,141.605,36.2023115,30,F
423,113.665,17.463292,6,M
424,154.305,49.89512,47,F
425,149.225,41.276872,26,F
426,145.415,31.127751,17,M
427,162.56,49.5549,19,M
428,179.07,55.7067675,23,M
429,146.7,42.4,20,M
430,159.516501095565,47.4854125,54,M
431,64.135,6.6621325,1,F
432,118.745,18.824068,9,F
433,66.675,8.1363065,0,F
434,88.265,12.7856245,2,F
435,114.3,18.14368,8,M
436,156.21,46.379782,24,F
437,151.765,48.024053,50,F
438,158.115,39.235708,35,M
439,147.955,32.488527,12,M
440,144.145,37.194544,27,F
441,100.076,15.081934,6,M
442,156.21,42.7226965,29,F
443,161.925,53.2120115,55,F
444,153.67,40.766581,16,F
445,91.44,12.927372,6,F
447,160.02,59.5622995,24,M
448,156.21,41.050076,53,M
449,156.21,44.111822,21,F
450,149.225,44.0834725,56,F
452,109.22,15.989118,7,F
453,144.78,36.0322145,73,F
454,136.525,31.864838,65,F
457,161.925,50.2636635,38,M
458,134.62,27.1304715,13,F
459,163.83,47.4854125,35,M
460,149.86,42.410852,35,F
461,147.32,51.255896,38,F
