"anio","municipio_id","municipio_nombre","region_sanitaria","establecimiento_nombre","dependencia","establecimiento_especialidad","cantidad_camas_criticas"
2009,60077,"Arrecifes","IV","Hospital Municipal Santa Francisca Romana","Municipal","Terapia intensiva",4
2009,60070,"Baradero","IV","Hospital Subzonal General Dr. L. Piñeiro","Municipal","Terapia intensiva",4
2009,60175,"Colón","IV","Hospital Municipal de Colón","Municipal","Terapia intensiva",4
2009,60686,"Rojas","IV","Hospital Subzonal General S. Unzué","Municipal","Terapia intensiva",5
2009,60714,"Salto","IV","Hospital Municipal de Salto ""Presidente J. D. Perón""","Municipal","Terapia intensiva",5
2009,60728,"San Andrés de Giles","IV","Hospital Municipal San Andrés","Municipal","Terapia intensiva",6
2009,60728,"San Andrés de Giles","IV","Hospital Municipal San Andrés","Municipal","Unidad coronaria",5
2009,60735,"San Antonio de Areco","IV","Hospital Municipal Emilio Zerboni","Municipal","Terapia intensiva",4
2009,60770,"San Pedro","IV","Hospital Subzonal General Dr. E. Ruffo","Municipal","Terapia intensiva",3
2009,60161,"Carmen de Areco","IV","Hospital Local General Ntra. Sra. del Carmen","Provincial","Terapia intensiva",4
2009,60623,"Pergamino","IV","Hospital Interzonal General de Ag. San José","Provincial","Terapia intensiva",7
2009,60623,"Pergamino","IV","Hospital Interzonal General de Ag. San José","Provincial","Terapia intensiva infantil",5
2009,60763,"San Nicolás","IV","Hospital Interzonal General de Ag. San Felipe","Provincial","Terapia intensiva",12
2009,60763,"San Nicolás","IV","Hospital Interzonal General de Ag. San Felipe","Provincial","Terapia intensiva infantil",8
2009,60763,"San Nicolás","IV","Hospital Interzonal General de Ag. San Felipe","Provincial","Terapia intensiva neonatología",12
2009,60126,"Campana","V","Hospital San José","Municipal","Cuidados intensivos",4
2009,60266,"Exaltación de la Cruz","V","Hospital Municipal San José","Municipal","Terapia intensiva",4
2009,60371,"General San Martín","V","Hospital Municipal Dr. D. E. Thompson","Municipal","Terapia intensiva",7
2009,60515,"Malvinas Argentinas","V","Centro de Alta Complejidad Cardiovasc. Pte. J. D. Perón","Municipal","Terapia intensiva",14
2009,60515,"Malvinas Argentinas","V","Centro de Alta Complejidad Cardiovasc. Pte. J. D. Perón","Municipal","Unidad coronaria",18
2009,60515,"Malvinas Argentinas","V","Hospital Municipal de Trauma y Emerg. Dr. F. A. Abete","Municipal","Terapia intensiva",17
2009,60515,"Malvinas Argentinas","V","Hospital Municipal de Trauma y Emerg. Dr. F. A. Abete","Municipal","Terapia intensiva infantil",10
2009,60021,"Alberti","X","Hospital Municipal Ntra. Sra. de la Merced","Municipal","Terapia intensiva",4
2009,60098,"Berisso","XI","Hospital Zonal General de Agudos Dr. M. V. Larraín","Provincial","Terapia intensiva",7
2009,60218,"Chascomús","XI","Hospital San Vicente de Paul","Municipal","Terapia intensiva",6
2009,60638,"Pilar","V","Hospital Central de Pilar Juan C. Sanguinetti","Municipal","Terapia intensiva",17
2009,60638,"Pilar","V","Hospital Municipal Pediátrico Dr. F. Falcón","Municipal","Terapia intensiva infantil",4
2009,60756,"San Isidro","V","Hospital Municipal Maternidad Inf. Comodoro H. Meisner","Municipal","Terapia intensiva neonatología",16
2009,60364,"General Rodríguez","VII","Hospital Interzonal General de Ag. Vte. Lopez y Planes","Provincial","Terapia intensiva",10
2009,60364,"General Rodríguez","VII","Hospital Interzonal General de Ag. Vte. Lopez y Planes","Provincial","Terapia intensiva infantil",5
2009,60364,"General Rodríguez","VII","Hospital Interzonal General de Ag. Vte. Lopez y Planes","Provincial","Terapia intensiva neonatología",23
2009,60497,"Luján","VII","Colonia Nacional Dr. Manuel A. Montes de Oca","Nacional","Cuidados especiales",9
2009,60525,"Marcos Paz","VII","Hospital Dr. Hétor J. D'Agnillo","Municipal","Terapia intensiva",4
2009,60112,"Bragado","X","Hospital Municipal San Luis","Municipal","Terapia intensiva",6
2009,60119,"Brandsen","XI","Hospital Municipal Dr. Francisco Caram","Municipal","Terapia intensiva",3
2009,60238,"Dolores","XI","Unidad Hospitalaria San Roque","Municipal","Terapia intensiva",5
2009,60245,"Ensenada","XI","Hospital Zonal General de Agudos """"Dr. H. Cestino""","Provincial","Terapia intensiva",6
2009,60210,"Chacabuco","III","Hospital Municipal Ntra. Sra. del Carmen","Municipal","Terapia intensiva",3
2009,60469,"Lincoln","III","HospitalSubzonal Municipal Dr. R. O. Miravalle","Municipal","Terapia intensiva",4
2009,60749,"San Fernando","V","Hospital Maternidad Infantil de San Isidron Dr. C. Gianantonio","Municipal","Terapia intensiva infantil",6
2009,60756,"San Isidro","V","Hospital Central Municipal de San Isidro","Municipal","Terapia intensiva",13
2009,60756,"San Isidro","V","Hospital Maternidad Infantil de San Isidron Dr. C. Gianantonio","Municipal","Terapia intensiva neonatología",10
2009,60224,"Chivilcoy","X","Hospital Municipal de Chivilcoy","Municipal","Terapia intensiva",5
2009,60301,"General Belgrano","XI","Hospital Municipal Juan E. de la Fuente","Municipal","Terapia intensiva",2
2009,60760,"San Miguel","V","Hospital MunicipalDr. Raúl F. Larcade","Municipal","Terapia intensiva",5
2009,60760,"San Miguel","V","Hospital MunicipalDr. Raúl F. Larcade","Municipal","Terapia intensiva neonatología",9
