ADM0_NAME,cum_conf,cum_death
China,83597,3351
Republic of Korea,10537,217
Japan,7255,102
Australia,6322,61
Malaysia,4683,76
Philippines,4648,297
Singapore,2532,8
New Zealand,1064,5
Viet Nam,262,0
Brunei Darussalam,136,1
Cambodia,122,0
Lao People's Democratic Republic,19,0
Fiji,16,0
Mongolia,16,0
Papua New Guinea,2,0
Guam,133,5
French Polynesia,53,0
New Caledonia,18,0
Northern Mariana Islands (Commonwealth of the),11,2
Spain,161852,16353
Italy,152271,19470
Germany,120479,2673
France,92787,13814
The United Kingdom,78995,9875
Turkey,52167,1101
Belgium,28018,3346
Switzerland,24820,831
Netherlands,24413,2643
Portugal,15987,470
Russian Federation,15770,130
Austria,13807,337
Israel,10525,96
Sweden,10151,887
Ireland,8928,320
Poland,6356,208
Norway,6320,98
Denmark,5996,260
Romania,5990,282
Czechia,5902,129
Serbia,3380,74
Luxembourg,3270,62
Finland,2905,49
Ukraine,2777,83
Belarus,2226,23
Greece,2081,93
Iceland,1689,8
Republic of Moldova,1560,30
Croatia,1534,21
Hungary,1410,99
Estonia,1304,24
Slovenia,1188,50
Azerbaijan,1058,11
Lithuania,1053,23
Armenia,1013,13
Bosnia and Herzegovina,948,37
Kazakhstan,897,10
North Macedonia,828,34
Uzbekistan,796,3
Slovakia,728,2
Bulgaria,661,28
Latvia,630,3
Andorra,622,28
Cyprus,616,15
Albania,446,23
Kyrgyzstan,377,5
Malta,370,3
San Marino,356,35
Montenegro,262,2
Georgia,252,3
Liechtenstein,80,1
Monaco,54,0
Holy See,8,0
Kosovo[1],283,7
Isle of Man,204,1
Guernsey,200,6
Jersey,198,4
Faroe Islands,184,0
Gibraltar,113,1
Greenland,11,0
India,8356,273
Indonesia,4241,373
Thailand,2551,38
Bangladesh,621,34
Sri Lanka,199,7
Myanmar,38,3
Maldives,20,0
Nepal,12,0
Bhutan,5,0
Timor-Leste,2,0
Iran (Islamic Republic of),71686,4474
Pakistan,5374,93
Saudi Arabia,4462,59
United Arab Emirates,4123,22
Qatar,2979,7
Egypt,2065,159
Morocco,1661,118
Iraq,1352,76
Kuwait,1234,1
Bahrain,1136,6
Oman,727,4
Tunisia,707,31
Lebanon,630,20
Afghanistan,607,19
Jordan,389,7
Djibouti,215,2
Somalia,27,2
Libya,25,1
Syrian Arab Republic,25,2
Sudan,19,2
Yemen,1,0
occupied Palestinian territory,271,2
United States of America,524514,20444
Canada,23702,674
Brazil,20727,1124
Ecuador,7466,333
Chile,7213,80
Peru,6848,181
Mexico,4219,273
Panama,3234,79
Dominican Republic,2967,173
Colombia,2709,100
Argentina,1975,82
Cuba,669,18
Costa Rica,577,3
Uruguay,501,7
Honduras,393,25
Bolivia (Plurinational State of),300,24
Venezuela (Bolivarian Republic of),171,9
Guatemala,153,3
Paraguay,134,6
El Salvador,125,6
Trinidad and Tobago,112,8
Jamaica,69,4
Barbados,68,4
Bahamas,42,8
Guyana,37,6
Haiti,31,2
Antigua and Barbuda,21,2
Dominica,16,0
Saint Lucia,15,0
Grenada,14,0
Belize,13,2
Saint Kitts and Nevis,12,0
Saint Vincent and the Grenadines,12,0
Nicaragua,11,1
Suriname,10,1
Puerto Rico,897,44
Martinique,156,6
Guadeloupe,143,8
Aruba,92,0
French Guiana,86,0
Cayman Islands,53,1
United States Virgin Islands,51,1
Bermuda,50,4
Sint Maarten,50,9
Saint Martin,33,2
Curaçao,14,1
Montserrat,9,0
Turks and Caicos Islands,9,1
Saint Barthélemy,6,0
Falkland Islands (Malvinas),5,0
Anguilla,3,0
"Bonaire, Sint Eustatius and Saba",3,0
British Virgin Islands,3,0
Saint Pierre and Miquelon,1,0
South Africa,2173,25
Algeria,1914,293
Cameroon,803,10
Ghana,566,8
Côte d’Ivoire,533,4
Niger,529,12
Burkina Faso,443,19
Mauritius,324,9
Nigeria,323,10
Senegal,280,2
Guinea,250,0
Democratic Republic of the Congo,235,20
Kenya,197,8
Rwanda,126,0
Madagascar,106,0
Mali,87,7
Togo,76,3
Ethiopia,71,3
Congo,70,5
Gabon,57,1
Uganda,54,0
Liberia,50,5
Zambia,43,2
Guinea-Bissau,39,0
Benin,35,1
Eritrea,34,0
United Republic of Tanzania,32,3
Mozambique,20,0
Angola,19,2
Chad,18,0
Equatorial Guinea,18,0
Namibia,16,0
Eswatini,14,0
Zimbabwe,14,3
Botswana,13,1
Malawi,13,2
Central African Republic,11,0
Seychelles,11,0
Sierra Leone,10,0
Gambia,9,1
Cabo Verde,7,1
Mauritania,7,1
Burundi,5,0
Sao Tome and Principe,4,0
South Sudan,4,0
Réunion,389,0
Mayotte,207,3
International conveyance (Diamond Princess),712,12
