tratado	infectado
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	TRUE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
TRUE	FALSE
